GRB (Trig#),z,Bayes Ep [keV],Bayes Eiso [erg] (Sbol if no z),T_90,Energy Fluence (15-350 keV) [erg/cm^2]
GRB140213A (00586569),1.2076,"72.25 (54.42,83.32)","7.23e+52 (6.49e+52,1.11e+53)",60.480 +/-1.140,"1.3606e-05 (1.3054e-05,1.4256e-05)"
GRB140206A (00585834),2.73,"95.12 (88.34,110.99)","3.74e+53 (3.56e+53,4.27e+53)",103.360 +/-10.089,"1.9898e-05 (1.9206e-05,2.0713e-05)"
GRB131117A (00577968),4.042,"40.66 (26.56,65.98)","1.21e+52 (9.68e+51,1.87e+52)",9.240 +/-0.856,"2.5383e-07 (2.2597e-07,2.9309e-07)"
GRB131105A (00576738),1.686,"110.52 (73.34,509.38)","8.66e+52 (6.94e+52,1.85e+53)",116.620 +/-1.860,"1.2111e-05 (1.1037e-05,1.3339e-05)"
GRB131103A (00576562),0.599,"40.66 (1.00,264.82)","1.99e+51 (1.77e+51,5.64e+51)",778.720 +/-2.775,"2.2672e-06 (1.8018e-06,2.8607e-06)"
GRB131030A (00576238),1.295,"201.38 (159.30,271.08)","3.92e+53 (2.23e+53,4.30e+53)",42.000 +/-1.827,"4.4987e-05 (4.3160e-05,4.7036e-05)"
GRB131004A (00573190),0.717,"52.20 (36.97,70.85)","5.23e+50 (4.35e+50,6.84e+50)",1.400 +/-0.156,"2.9014e-07 (2.6064e-07,3.3470e-07)"
GRB130925A (00571830),0.347,"57.69 (45.65,70.31)","2.16e+52 (2.04e+52,3.00e+52)",844.360 +/-14.836,"4.6943e-05 (4.5051e-05,4.9153e-05)"
GRB130907A (00569992),1.238,"245.96 (204.35,296.50)","1.93e+54 (1.12e+54,2.07e+54)",357.230 +/-2.034,"2.2632e-04 (2.2132e-04,2.3183e-04)"
GRB130831A (00568849),0.4791,"40.66 (23.24,141.90)","1.08e+52 (9.09e+51,1.21e+52)",34.650 +/-0.529,"8.8572e-06 (8.6763e-06,9.0986e-06)"
GRB130701A (00559482),1.155,"79.85 (71.58,93.74)","2.04e+52 (1.91e+52,2.39e+52)",4.620 +/-0.086,"5.0470e-06 (4.8340e-06,5.2996e-06)"
GRB130612A (00557976),2.006,"33.29 (18.14,59.27)","4.90e+51 (3.90e+51,8.45e+51)",6.640 +/-1.064,"2.9096e-07 (2.5557e-07,3.3217e-07)"
GRB130610A (00557845),2.092,"173.33 (116.95,576.81)","5.03e+52 (3.89e+52,1.01e+53)",48.450 +/-2.350,"3.8083e-06 (3.3470e-06,4.4327e-06)"
GRB130606A (00557589),5.913,"95.12 (70.35,377.75)","2.37e+53 (1.92e+53,4.33e+53)",278.520 +/-3.539,"4.5644e-06 (4.2202e-06,4.9588e-06)"
GRB130604A (00557354),1.06,"105.13 (70.07,616.48)","7.81e+51 (6.25e+51,1.68e+52)",78.070 +/-9.813,"2.5146e-06 (2.3077e-06,2.7532e-06)"
GRB130603B (00557310),0.3564,"160.80 (220.10,1009.45)","7.51e+50 (5.00e+50,1.89e+51)",0.220 +/-0.013,"1.6468e-06 (1.5671e-06,1.7367e-06)"
