GRB (Trig#),z,Bayes Ep [keV],Bayes Eiso [erg] (Sbol if no z),T_90,Energy Fluence (15-350 keV) [erg/cm^2]
GRB090424 (00350311),0.544,"128.40 (106.67,159.81)","2.64e+52 (2.31e+52,3.01e+52)",50.280 +/-0.527,"2.8371e-05 (2.7150e-05,2.9736e-05)"
GRB090423 (00350184),8.1,"52.20 (43.90,62.24)","8.23e+52 (6.97e+52,9.92e+52)",12.360 +/-0.589,"6.6649e-07 (6.2073e-07,7.2345e-07)"
GRB090418 (00349510),1.608,"332.01 (153.55,915.34)","8.59e+52 (5.61e+52,1.47e+53)",57.970 +/-0.850,"8.7040e-06 (8.3464e-06,9.0738e-06)"
GRB090407 (00348650),1.4485,"100.00 (50.04,597.93)","5.01e+51 (3.34e+51,1.36e+52)",147.520 +/-1.020,"1.0705e-06 (8.3166e-07,1.3681e-06)"
GRB090313 (00346386),3.375,"54.88 (3.79,257.25)","4.56e+52 (4.08e+52,1.08e+53)",90.240 +/-6.833,"2.1439e-06 (1.8048e-06,2.5439e-06)"
GRB090205 (00342121),4.6497,"33.29 (4.30,64.45)","1.20e+52 (9.72e+51,2.81e+52)",10.680 +/-0.745,"1.9211e-07 (1.6946e-07,2.2398e-07)"
GRB090113 (00339852),1.7493,"128.40 (88.75,562.55)","1.00e+52 (8.27e+51,2.10e+52)",8.800 +/-0.128,"1.3207e-06 (1.2448e-06,1.4081e-06)"
GRB090102 (00338895),1.547,"366.93 (149.24,982.93)","1.37e+53 (8.26e+52,2.35e+53)",30.690 +/-1.206,"1.4244e-05 (1.3449e-05,1.5076e-05)"
GRB081222 (00337914),2.77,"134.99 (111.92,187.20)","1.48e+53 (1.31e+53,1.81e+53)",33.480 +/-1.436,"7.3056e-06 (6.9300e-06,7.7332e-06)"
GRB081221 (00337889),2.26,"81.87 (76.98,89.64)","3.26e+53 (3.06e+53,3.59e+53)",34.230 +/-0.644,"2.2438e-05 (2.1832e-05,2.3093e-05)"
GRB081203A (00336489),2.1,"201.38 (126.49,641.52)","1.68e+53 (1.28e+53,2.98e+53)",254.280 +/-26.938,"1.3558e-05 (1.3058e-05,1.4075e-05)"
GRB081121 (00335105),2.512,"182.21 (122.45,514.17)","1.57e+53 (1.18e+53,3.02e+53)",19.380 +/-0.960,"7.8846e-06 (6.9739e-06,9.1151e-06)"
GRB081118 (00334877),2.58,"36.79 (1.57,48.97)","2.82e+52 (2.40e+52,7.23e+52)",66.550 +/-5.082,"1.5737e-06 (1.4405e-06,1.7168e-06)"
GRB081109A (00334112),0.9787,"105.13 (80.35,258.17)","1.28e+52 (1.11e+52,2.04e+52)",70.140 +/-1.894,"4.3462e-06 (3.9606e-06,4.8467e-06)"
GRB081029 (00332931),3.8479,"300.42 (96.61,852.44)","1.45e+53 (7.92e+52,2.30e+53)",169.100 +/-8.555,"3.3420e-06 (2.9574e-06,3.7656e-06)"
GRB081028 (00332851),3.038,"67.03 (54.26,98.15)","1.13e+53 (9.27e+52,1.44e+53)",275.590 +/-9.677,"4.3170e-06 (3.9369e-06,4.8292e-06)"
GRB081008 (00331093),1.9685,"90.48 (69.77,203.48)","6.49e+52 (5.31e+52,9.61e+52)",199.320 +/-11.517,"5.6132e-06 (5.0819e-06,6.3129e-06)"
GRB081007 (00330856),0.5295,"27.25 (11.52,38.62)","7.13e+50 (5.73e+50,1.17e+51)",5.550 +/-0.263,"5.9087e-07 (5.4104e-07,6.5437e-07)"
GRB080928 (00326115),1.692,"74.08 (48.19,317.05)","2.80e+52 (2.26e+52,5.23e+52)",284.900 +/-12.158,"3.9593e-06 (3.6784e-06,4.2582e-06)"
GRB080916A (00324895),0.689,"105.13 (88.04,148.59)","8.09e+51 (7.22e+51,1.02e+52)",62.530 +/-3.238,"5.5510e-06 (5.2153e-06,5.9490e-06)"
GRB080913 (00324561),6.7,"134.99 (87.98,411.22)","6.91e+52 (5.50e+52,1.35e+53)",8.190 +/-0.256,"7.5965e-07 (6.5668e-07,9.1634e-07)"
GRB080905B (00323898),2.374,"81.87 (61.16,340.03)","3.42e+52 (2.82e+52,6.48e+52)",103.970 +/-4.680,"2.7841e-06 (2.5462e-06,3.0389e-06)"
GRB080905A (00323870),0.1218,"448.17 (198.09,1295.59)","2.31e+49 (1.03e+49,6.60e+49)",1.040 +/-0.029,"4.0236e-07 (3.4260e-07,4.7053e-07)"
GRB080810 (00319584),3.35,"366.93 (149.24,982.93)","3.49e+53 (1.95e+53,5.69e+53)",453.150 +/-5.087,"9.7053e-06 (9.0141e-06,1.0442e-05)"
GRB080805 (00319036),1.505,"300.42 (111.49,852.44)","4.05e+52 (2.46e+52,6.12e+52)",111.840 +/-9.108,"4.4700e-06 (4.2404e-06,4.7102e-06)"
GRB080804 (00319016),2.2,"405.52 (201.37,1055.55)","1.59e+53 (9.22e+52,3.24e+53)",61.740 +/-8.815,"9.0185e-06 (8.4430e-06,9.6262e-06)"
GRB080721 (00317508),2.602,"604.96 (312.52,1584.42)","1.11e+54 (6.08e+53,2.19e+54)",29.920 +/-2.292,"3.4109e-05 (3.2256e-05,3.6048e-05)"
GRB080710 (00316534),0.845,"300.42 (96.61,852.44)","7.98e+51 (3.83e+51,1.64e+52)",139.050 +/-10.013,"3.2424e-06 (2.7601e-06,3.7919e-06)"
GRB080707 (00316204),1.23,"74.08 (42.11,391.39)","3.43e+51 (2.88e+51,7.51e+51)",30.250 +/-0.426,"9.6733e-07 (8.6116e-07,1.0848e-06)"
GRB080607 (00313417),3.036,"902.50 (442.18,2072.28)","2.80e+54 (1.88e+54,4.07e+54)",83.660 +/-0.829,"5.1189e-05 (5.0011e-05,5.2390e-05)"
GRB080605 (00313299),1.6398,"222.55 (162.42,429.35)","2.06e+53 (1.69e+53,2.95e+53)",19.570 +/-0.319,"2.2323e-05 (2.1176e-05,2.3602e-05)"
GRB080604 (00313116),1.416,"74.08 (45.25,498.08)","7.08e+51 (5.65e+51,1.46e+52)",125.280 +/-5.372,"1.4522e-06 (1.2822e-06,1.6407e-06)"
GRB080603B (00313087),2.69,"70.47 (58.50,87.60)","6.20e+52 (5.20e+52,7.20e+52)",59.500 +/-0.512,"2.8691e-06 (2.6823e-06,3.1013e-06)"
GRB080520 (00312047),1.545,"11.08 (1.00,14.14)","1.09e+51 (6.85e+50,1.56e+52)",2.970 +/-0.242,"5.8137e-08 (4.8994e-08,6.8562e-08)"
GRB080430 (00310613),0.767,"122.14 (75.55,675.79)","3.83e+51 (3.06e+51,6.85e+51)",16.200 +/-0.780,"1.8591e-06 (1.7711e-06,1.9513e-06)"
GRB080413B (00309111),1.1,"67.03 (58.33,79.19)","1.53e+52 (1.34e+52,1.75e+52)",7.040 +/-0.434,"3.7030e-06 (3.5067e-06,3.9359e-06)"
GRB080413A (00309096),2.433,"149.18 (106.98,518.72)","9.06e+52 (7.45e+52,1.53e+53)",46.620 +/-0.133,"5.8812e-06 (5.6987e-06,6.0693e-06)"
GRB080411 (00309010),1.03,"405.52 (219.99,1211.59)","2.32e+53 (1.90e+53,3.22e+53)",58.290 +/-0.462,"4.3132e-05 (4.2687e-05,4.3582e-05)"
GRB080330 (00308041),1.51,"20.19 (1.00,26.77)","4.13e+51 (3.54e+51,1.35e+52)",66.100 +/-0.979,"4.4103e-07 (3.6418e-07,5.3295e-07)"
GRB080319C (00306778),1.95,"156.83 (106.68,459.78)","6.13e+52 (4.91e+52,1.13e+53)",32.880 +/-3.275,"5.3762e-06 (4.7986e-06,6.1281e-06)"
GRB080319B (00306757),0.937,"1218.25 (681.66,2810.71)","3.71e+54 (2.30e+54,5.94e+54)",147.320 +/-2.501,"4.1119e-04 (4.0603e-04,4.1641e-04)"
GRB080310 (00305288),2.4266,"22.31 (1.48,30.63)","5.88e+52 (4.89e+52,1.64e+53)",361.920 +/-3.755,"2.6894e-06 (2.5055e-06,2.8859e-06)"
GRB080210 (00302888),2.641,"90.48 (54.02,562.53)","5.09e+52 (4.21e+52,9.63e+52)",43.890 +/-4.363,"2.7375e-06 (2.5614e-06,2.9239e-06)"
GRB080207 (00302728),2.0858,"100.00 (79.33,199.82)","1.08e+53 (9.13e+52,1.66e+53)",310.980 +/-9.341,"8.6751e-06 (7.8591e-06,9.7878e-06)"
GRB080129 (00301981),4.349,"245.96 (94.76,739.41)","7.71e+52 (4.20e+52,1.51e+53)",45.600 +/-2.995,"1.9154e-06 (1.6439e-06,2.2206e-06)"
GRB071227 (00299787),0.383,"332.01 (120.89,915.34)","2.75e+50 (1.33e+50,6.57e+50)",2.200 +/-0.161,"5.2607e-07 (4.5209e-07,6.0926e-07)"
GRB071122 (00297114),1.14,"110.52 (43.68,635.63)","3.47e+51 (2.34e+51,8.58e+51)",79.200 +/-4.883,"1.0370e-06 (8.2925e-07,1.2825e-06)"
GRB071117 (00296805),1.331,"128.40 (93.05,247.12)","1.91e+52 (1.59e+52,2.71e+52)",6.480 +/-0.755,"3.4001e-06 (3.1482e-06,3.7053e-06)"
GRB071031 (00295670),2.692,"12.25 (1.00,18.44)","3.93e+52 (3.30e+52,8.00e+52)",187.180 +/-7.123,"1.1030e-06 (9.6010e-07,1.2660e-06)"
GRB071021 (00294974),2.452,"74.08 (45.25,498.08)","2.36e+52 (1.96e+52,5.12e+52)",204.960 +/-17.950,"1.8074e-06 (1.5830e-06,2.0701e-06)"
GRB071020 (00294835),2.145,"405.52 (254.32,1055.55)","9.64e+52 (6.47e+52,1.92e+53)",4.400 +/-0.270,"5.6228e-06 (5.4636e-06,5.7862e-06)"
GRB071010B (00293795),0.947,"56.27 (48.27,64.13)","1.75e+52 (1.63e+52,2.11e+52)",34.680 +/-1.018,"5.1358e-06 (4.9218e-06,5.3820e-06)"
GRB071010A (00293707),0.98,"36.79 (1.57,86.02)","1.31e+51 (1.09e+51,3.75e+51)",22.400 +/-1.698,"4.7308e-07 (3.8256e-07,5.7846e-07)"
GRB071003 (00292934),1.605,"405.52 (219.99,1211.59)","1.79e+53 (1.17e+53,3.24e+53)",148.320 +/-0.676,"1.6687e-05 (1.6038e-05,1.7360e-05)"
GRB070810A (00287364),2.17,"41.69 (34.54,50.13)","9.15e+51 (8.08e+51,1.19e+52)",7.680 +/-0.415,"5.7380e-07 (5.3346e-07,6.2288e-07)"
GRB070809 (00287344),0.2187,"81.87 (49.45,340.03)","1.31e+49 (1.03e+49,2.85e+49)",0.760 +/-0.031,"1.3545e-07 (1.1675e-07,1.5631e-07)"
GRB070802 (00286809),2.45,"54.88 (19.45,321.69)","4.96e+51 (4.01e+51,1.02e+52)",14.720 +/-0.615,"3.9601e-07 (3.3439e-07,4.6612e-07)"
GRB070724A (00285948),0.457,"40.66 (3.43,141.90)","2.45e+49 (1.75e+49,5.55e+49)",0.640 +/-0.068,"4.3928e-08 (3.5025e-08,5.4465e-08)"
GRB070721B (00285654),3.626,"405.52 (201.37,1211.59)","3.13e+53 (1.78e+53,5.50e+53)",330.660 +/-6.279,"7.4479e-06 (6.9014e-06,8.0294e-06)"
GRB070714B (00284856),0.92,"164.87 (91.74,664.12)","3.06e+51 (1.98e+51,7.30e+51)",64.180 +/-1.601,"1.4270e-06 (1.2471e-06,1.6275e-06)"
GRB070612A (00282066),0.617,"149.18 (90.39,621.42)","1.96e+52 (1.56e+52,3.76e+52)",254.740 +/-3.627,"1.7059e-05 (1.6168e-05,1.7989e-05)"
GRB070611 (00282003),2.04,"67.03 (41.41,180.14)","5.10e+51 (3.94e+51,8.64e+51)",11.310 +/-0.447,"3.4241e-07 (2.9444e-07,4.1635e-07)"
GRB070529 (00280706),2.4996,"245.96 (118.82,867.05)","9.33e+52 (5.86e+52,1.80e+53)",112.210 +/-2.936,"5.2200e-06 (4.7195e-06,5.7605e-06)"
GRB070518 (00279592),1.16,"34.99 (1.56,67.32)","8.56e+50 (7.45e+50,2.34e+51)",5.340 +/-0.187,"2.0585e-07 (1.7852e-07,2.3668e-07)"
GRB070506 (00278693),2.31,"70.77 (46.07,165.59)","2.58e+51 (2.05e+51,4.25e+51)",3.550 +/-0.165,"1.9941e-07 (1.8558e-07,2.1204e-07)"
GRB070429B (00277582),0.904,"122.14 (53.37,865.79)","1.36e+50 (8.74e+49,3.58e+50)",0.320 +/-0.021,"6.3003e-08 (4.9167e-08,7.9637e-08)"
GRB070419B (00276212),1.959,"149.18 (111.65,385.89)","1.21e+53 (1.04e+53,1.86e+53)",133.750 +/-2.854,"1.0045e-05 (9.3971e-06,1.0815e-05)"
GRB070419A (00276205),0.97,"26.93 (7.50,43.06)","2.37e+51 (1.89e+51,4.64e+51)",161.250 +/-8.865,"5.4231e-07 (4.8578e-07,6.0997e-07)"
GRB070411 (00275087),2.954,"119.81 (80.33,675.78)","1.01e+53 (8.34e+52,1.80e+53)",108.560 +/-3.619,"4.2299e-06 (4.0008e-06,4.4700e-06)"
GRB070318 (00271019),0.836,"196.19 (118.19,641.52)","9.21e+51 (6.99e+51,1.78e+52)",51.000 +/-2.317,"4.4072e-06 (4.2089e-06,4.6136e-06)"
GRB070306 (00263361),1.497,"119.60 (80.93,655.39)","6.13e+52 (4.97e+52,1.16e+53)",261.360 +/-6.651,"9.0434e-06 (8.5735e-06,9.5348e-06)"
GRB070208 (00259714),1.165,"65.96 (32.48,245.03)","2.84e+51 (2.02e+51,5.05e+51)",52.480 +/-0.850,"5.6717e-07 (4.7590e-07,7.0823e-07)"
GRB070129 (00258408),2.3384,"44.93 (32.22,64.48)","2.98e+52 (2.37e+52,3.76e+52)",92.150 +/-2.241,"1.4285e-06 (1.2806e-06,1.6615e-06)"
GRB070110 (00255445),2.352,"100.00 (73.71,283.02)","2.77e+52 (2.25e+52,4.71e+52)",47.700 +/-1.539,"1.8240e-06 (1.5982e-06,2.1514e-06)"
GRB070103 (00254532),2.6208,"57.69 (14.56,428.16)","4.90e+51 (3.88e+51,1.02e+52)",10.920 +/-0.145,"3.3550e-07 (2.8656e-07,3.9315e-07)"
GRB061222B (00252593),3.355,"51.78 (8.73,124.25)","8.09e+52 (6.57e+52,1.54e+53)",42.000 +/-2.146,"3.2846e-06 (3.0303e-06,3.5551e-06)"
GRB061222A (00252588),2.088,"222.55 (162.42,472.35)","2.03e+53 (1.71e+53,3.22e+53)",81.650 +/-4.241,"1.4530e-05 (1.3680e-05,1.5512e-05)"
GRB061217 (00251634),0.827,"403.94 (142.06,1211.59)","3.05e+50 (1.19e+50,6.91e+50)",0.350 +/-0.028,"1.1537e-07 (9.1665e-08,1.4366e-07)"
GRB061210 (00243690),0.41,"544.04 (234.48,1307.43)","9.07e+50 (4.15e+50,2.50e+51)",0.100 +/-0.011,"9.0964e-07 (8.2309e-07,1.0032e-06)"
GRB061126 (00240766),1.159,"389.44 (243.03,1018.59)","7.62e+52 (5.18e+52,1.44e+53)",26.780 +/-0.460,"1.3868e-05 (1.3509e-05,1.4235e-05)"
GRB061121 (00239899),1.314,"345.84 (212.01,805.34)","1.92e+53 (1.45e+53,3.00e+53)",83.000 +/-12.497,"2.7920e-05 (2.7497e-05,2.8349e-05)"
GRB061110B (00238174),3.44,"547.39 (286.36,1481.59)","1.29e+53 (5.31e+52,2.40e+53)",32.390 +/-0.451,"2.4598e-06 (2.2279e-06,2.7122e-06)"
GRB061110A (00238108),0.757,"105.63 (66.03,405.26)","2.82e+51 (2.21e+51,5.64e+51)",47.040 +/-1.797,"2.0145e-06 (1.8573e-06,2.1832e-06)"
GRB061021 (00234905),0.3463,"405.52 (237.68,1211.59)","2.44e+51 (1.62e+51,4.55e+51)",12.060 +/-0.324,"4.9454e-06 (4.7836e-06,5.1118e-06)"
GRB061007 (00232683),1.261,"838.02 (511.24,1937.79)","1.44e+54 (8.61e+53,2.53e+54)",74.900 +/-0.514,"1.1459e-04 (1.1285e-04,1.1636e-04)"
GRB060927 (00231362),5.6,"73.08 (61.39,96.10)","8.62e+52 (7.36e+52,1.06e+53)",23.030 +/-0.259,"1.3183e-06 (1.2212e-06,1.4423e-06)"
GRB060926 (00231231),3.2,"20.19 (1.46,27.89)","8.70e+51 (7.11e+51,3.13e+52)",7.050 +/-0.393,"2.4177e-07 (2.1951e-07,2.6601e-07)"
GRB060912A (00229185),0.937,"202.31 (90.40,758.72)","8.05e+51 (5.76e+51,1.28e+52)",5.920 +/-0.351,"2.2459e-06 (2.1347e-06,2.3618e-06)"
GRB060908 (00228581),1.8836,"141.91 (110.53,231.00)","3.98e+52 (3.35e+52,5.61e+52)",18.480 +/-0.169,"3.8142e-06 (3.5155e-06,4.1793e-06)"
GRB060906 (00228316),3.686,"46.56 (1.63,71.17)","1.26e+53 (1.14e+53,2.51e+53)",72.960 +/-9.411,"3.5575e-06 (3.3130e-06,3.8164e-06)"
GRB060904B (00228006),0.703,"83.20 (58.59,211.33)","2.99e+51 (2.39e+51,4.94e+51)",171.040 +/-2.288,"1.8806e-06 (1.6171e-06,2.3104e-06)"
GRB060814 (00224552),1.923,"201.38 (147.91,487.35)","2.90e+53 (2.47e+53,4.50e+53)",159.160 +/-4.081,"2.3776e-05 (2.2506e-05,2.5229e-05)"
GRB060729 (00221755),0.54,"67.03 (38.60,207.93)","2.98e+51 (2.42e+51,5.26e+51)",119.140 +/-1.397,"4.1132e-06 (3.8068e-06,4.4660e-06)"
GRB060719 (00220020),1.532,"54.88 (1.66,99.83)","1.42e+52 (1.31e+52,3.21e+52)",57.000 +/-0.840,"2.0583e-06 (1.9514e-06,2.1838e-06)"
GRB060714 (00219101),2.711,"53.17 (3.73,147.66)","7.73e+52 (6.87e+52,1.52e+53)",118.720 +/-1.868,"4.2985e-06 (4.0549e-06,4.5551e-06)"
GRB060708 (00217805),1.92,"90.48 (69.77,167.78)","5.91e+51 (5.00e+51,8.62e+51)",7.500 +/-0.445,"6.0532e-07 (5.4216e-07,6.9347e-07)"
GRB060707 (00217704),3.425,"64.25 (50.17,89.23)","6.09e+52 (5.15e+52,8.04e+52)",75.140 +/-2.460,"1.8799e-06 (1.7097e-06,2.1073e-06)"
GRB060614 (00214805),0.125,"393.02 (142.06,1211.59)","2.44e+51 (2.00e+51,2.83e+51)",108.800 +/-0.860,"2.8219e-05 (2.7805e-05,2.8638e-05)"
GRB060607A (00213823),3.082,"138.80 (97.48,357.06)","9.09e+52 (7.44e+52,1.57e+53)",102.550 +/-3.353,"3.6843e-06 (3.3032e-06,4.1823e-06)"
GRB060605 (00213630),3.78,"128.40 (88.75,466.58)","2.12e+52 (1.65e+52,4.71e+52)",18.540 +/-1.155,"5.5933e-07 (4.7968e-07,6.8647e-07)"
GRB060604 (00213486),2.1357,"36.82 (1.00,86.03)","5.23e+51 (4.08e+51,1.68e+52)",39.900 +/-0.705,"2.6659e-07 (1.9698e-07,3.5554e-07)"
GRB060526 (00211957),3.221,"73.25 (1.00,224.55)","5.21e+52 (4.82e+52,1.08e+53)",295.550 +/-4.011,"1.8464e-06 (1.6121e-06,2.1102e-06)"
GRB060522 (00211117),5.11,"90.38 (61.11,305.69)","7.26e+52 (5.84e+52,1.40e+53)",74.100 +/-2.296,"1.2156e-06 (1.0279e-06,1.5488e-06)"
GRB060512 (00209755),2.1,"22.31 (2.80,33.81)","4.24e+51 (3.32e+51,1.05e+52)",8.370 +/-0.362,"2.0330e-07 (1.7602e-07,2.3816e-07)"
GRB060510B (00209352),4.9,"76.04 (55.95,135.85)","2.30e+53 (1.90e+53,3.29e+53)",229.890 +/-2.774,"4.3832e-06 (3.9714e-06,4.9388e-06)"
GRB060502B (00208275),0.287,"340.54 (153.55,1059.67)","3.41e+49 (1.56e+49,8.54e+49)",0.160 +/-0.024,"1.2453e-07 (1.0592e-07,1.4564e-07)"
GRB060502A (00208169),1.51,"182.21 (108.10,597.61)","2.86e+52 (2.17e+52,5.46e+52)",30.240 +/-4.176,"4.4258e-06 (4.2215e-06,4.6378e-06)"
GRB060428B (00207399),0.348,"20.19 (8.21,29.23)","1.98e+50 (1.54e+50,3.27e+50)",20.460 +/-0.623,"3.5181e-07 (3.1343e-07,3.9670e-07)"
GRB060418 (00205851),1.489,"134.99 (101.64,411.22)","8.30e+52 (7.20e+52,1.36e+53)",103.240 +/-10.329,"1.3134e-05 (1.2782e-05,1.3495e-05)"
GRB060306 (00200638),3.5,"63.76 (48.42,85.46)","7.42e+52 (6.33e+52,1.00e+53)",60.960 +/-0.803,"2.3621e-06 (2.1538e-06,2.6541e-06)"
GRB060223A (00192059),4.41,"74.50 (55.71,121.01)","3.10e+52 (2.57e+52,4.34e+52)",8.400 +/-0.282,"6.7621e-07 (6.0407e-07,7.8122e-07)"
GRB060218 (00191157),0.0331,"40.54 (23.25,70.80)","2.87e+48 (2.21e+48,4.23e+48)",128.000 +/-2.515,"7.8535e-07 (7.0295e-07,9.0213e-07)"
GRB060210 (00180977),3.91,"136.23 (97.48,483.34)","4.15e+53 (3.39e+53,7.61e+53)",369.940 +/-20.650,"1.4223e-05 (1.3461e-05,1.5016e-05)"
GRB060206 (00180455),4.045,"83.46 (67.52,117.99)","4.14e+52 (3.51e+52,5.31e+52)",6.060 +/-0.162,"1.0442e-06 (9.6734e-07,1.1407e-06)"
GRB060202 (00179968),0.783,"87.72 (61.36,431.94)","6.55e+51 (5.44e+51,1.27e+52)",205.920 +/-2.519,"3.8019e-06 (3.5358e-06,4.0835e-06)"
GRB060124 (00178750),2.296,"82.77 (49.45,340.03)","6.73e+51 (5.24e+51,1.36e+52)",8.160 +/-0.192,"4.7567e-07 (4.4429e-07,5.0607e-07)"
GRB060116 (00177533),6.6,"164.87 (91.74,664.12)","1.94e+53 (1.40e+53,3.62e+53)",36.000 +/-1.205,"2.8221e-06 (2.5204e-06,3.1500e-06)"
GRB060115 (00177408),3.53,"67.54 (52.59,110.64)","6.07e+52 (5.02e+52,8.36e+52)",109.890 +/-1.137,"1.8733e-06 (1.6688e-06,2.1765e-06)"
GRB060108 (00176453),2.03,"44.02 (1.62,72.22)","5.85e+51 (5.00e+51,1.42e+52)",15.280 +/-1.099,"5.1194e-07 (4.6008e-07,5.6854e-07)"
GRB051227 (00174738),0.714,"332.01 (120.89,915.34)","7.66e+50 (3.68e+50,1.77e+51)",4.300 +/-0.191,"4.2782e-07 (3.6695e-07,4.9638e-07)"
GRB051221A (00173780),0.5459,"390.94 (201.37,1055.55)","2.78e+51 (1.82e+51,4.92e+51)",1.240 +/-0.028,"2.2130e-06 (2.1406e-06,2.2873e-06)"
GRB051117B (00164279),0.481,"74.08 (35.29,498.08)","1.64e+50 (1.22e+50,3.76e+50)",10.450 +/-0.247,"3.0078e-07 (2.4457e-07,3.6813e-07)"
GRB051111 (00163438),1.55,"182.21 (128.83,450.84)","4.91e+52 (3.93e+52,8.61e+52)",50.960 +/-2.453,"6.4282e-06 (5.8556e-06,7.1307e-06)"
GRB051109B (00163170),0.08,"58.73 (36.25,140.50)","3.61e+48 (2.68e+48,5.53e+48)",8.320 +/-0.476,"1.6713e-07 (1.4340e-07,2.0138e-07)"
GRB051109A (00163136),2.346,"105.13 (73.80,405.26)","2.18e+52 (1.76e+52,4.64e+52)",4.900 +/-0.301,"1.5435e-06 (1.4186e-06,1.6586e-06)"
GRB051016B (00159994),0.9364,"36.79 (2.34,70.32)","3.35e+50 (2.93e+50,8.86e+50)",1.400 +/-0.088,"1.3706e-07 (1.2038e-07,1.5542e-07)"
GRB051006 (00158593),1.059,"300.42 (96.61,852.44)","1.02e+52 (5.58e+51,1.81e+52)",26.460 +/-0.531,"2.3030e-06 (2.0676e-06,2.5741e-06)"
GRB051001 (00157870),2.4296,"42.74 (34.39,54.43)","2.33e+52 (1.74e+52,2.72e+52)",55.900 +/-1.627,"9.8986e-07 (9.0977e-07,1.1013e-06)"
GRB050922C (00156467),2.198,"183.39 (128.83,450.84)","3.88e+52 (3.13e+52,6.57e+52)",4.560 +/-0.119,"2.6587e-06 (2.4365e-06,2.9267e-06)"
GRB050915A (00155242),2.5273,"164.87 (105.51,664.12)","1.77e+52 (1.30e+52,3.89e+52)",21.390 +/-0.587,"1.2736e-06 (1.1587e-06,1.4043e-06)"
GRB050908 (00154112),3.35,"67.03 (44.04,158.92)","1.26e+52 (9.87e+51,2.00e+52)",10.800 +/-0.635,"5.9975e-07 (5.3970e-07,6.6479e-07)"
GRB050904 (00153514),6.29,"531.78 (234.48,1307.43)","1.32e+54 (9.25e+53,1.99e+54)",197.200 +/-2.259,"1.2227e-05 (1.1699e-05,1.2776e-05)"
GRB050826 (00152113),0.297,"340.31 (131.07,1133.07)","3.29e+50 (1.48e+50,7.23e+50)",34.440 +/-1.871,"1.0308e-06 (8.6445e-07,1.2228e-06)"
GRB050824 (00151905),0.83,"13.85 (1.00,16.59)","1.51e+51 (1.08e+51,1.01e+52)",37.950 +/-4.021,"3.6054e-07 (3.1094e-07,4.1766e-07)"
GRB050822 (00151486),1.434,"27.25 (1.51,34.34)","2.29e+52 (2.14e+52,5.68e+52)",104.880 +/-2.632,"3.1160e-06 (2.9327e-06,3.3318e-06)"
GRB050820A (00151207),2.6147,"493.76 (191.23,1217.39)","2.42e+53 (1.31e+53,4.30e+53)",239.680 +/-0.371,"8.6884e-06 (8.0666e-06,9.3497e-06)"
GRB050819 (00151131),2.5043,"20.19 (2.70,30.85)","9.73e+51 (7.29e+51,3.03e+52)",46.800 +/-4.851,"3.2788e-07 (2.9255e-07,3.7133e-07)"
GRB050814 (00150314),5.3,"60.65 (40.24,109.00)","5.18e+52 (4.07e+52,7.71e+52)",27.540 +/-1.711,"7.7419e-07 (6.7817e-07,9.0702e-07)"
GRB050813 (00150139),0.72,"201.38 (80.48,919.30)","1.43e+50 (6.40e+49,3.62e+50)",0.500 +/-0.083,"1.0113e-07 (7.4623e-08,1.3399e-07)"
GRB050803 (00148833),0.422,"235.37 (141.25,867.05)","2.44e+51 (1.62e+51,4.89e+51)",88.200 +/-1.347,"4.4233e-06 (4.1215e-06,4.7427e-06)"
GRB050802 (00148646),1.71,"95.12 (63.97,272.29)","1.80e+52 (1.47e+52,3.24e+52)",14.250 +/-0.605,"2.7269e-06 (2.4975e-06,2.9710e-06)"
GRB050801 (00148522),1.38,"42.74 (2.43,74.02)","1.60e+51 (1.43e+51,4.07e+51)",5.880 +/-0.196,"3.2480e-07 (2.9277e-07,3.6187e-07)"
GRB050730 (00148225),3.969,"164.87 (105.51,664.12)","8.00e+52 (5.84e+52,1.57e+53)",60.480 +/-2.259,"2.5504e-06 (2.3495e-06,2.7649e-06)"
GRB050724 (00147478),0.258,"100.00 (59.02,476.82)","8.93e+49 (7.23e+49,1.90e+50)",2.500 +/-0.038,"5.3226e-07 (4.7979e-07,5.8902e-07)"
GRB050525 (00130088),0.606,"81.86 (78.72,85.50)","2.04e+52 (1.95e+52,2.15e+52)",9.100 +/-0.043,"1.8614e-05 (1.8285e-05,1.8961e-05)"
GRB050509B (00118749),0.2249,"82.44 (2.84,693.51)","2.44e+48 (1.46e+48,6.85e+48)",0.080 +/-0.041,"2.0271e-08 (1.3849e-08,2.8809e-08)"
GRB050505 (00117504),4.27,"140.25 (97.48,483.34)","1.56e+53 (1.21e+53,2.91e+53)",60.200 +/-1.352,"4.8363e-06 (4.5134e-06,5.1755e-06)"
GRB050416A (00114753),0.6535,"14.96 (9.87,19.44)","9.78e+50 (7.66e+50,1.41e+51)",2.910 +/-0.176,"3.4021e-07 (3.1680e-07,3.6501e-07)"
GRB050401 (00113120),2.9,"165.49 (117.41,556.75)","3.23e+53 (2.57e+53,5.80e+53)",34.410 +/-0.338,"1.6522e-05 (1.5817e-05,1.7249e-05)"
GRB050319 (00111622),3.24,"44.73 (1.62,72.22)","4.56e+52 (4.00e+52,1.11e+53)",153.550 +/-2.201,"1.8652e-06 (1.6775e-06,2.0687e-06)"
