 0.00    0.137E+11
 0.42    0.938E+10
 0.83    0.665E+10
 1.25    0.496E+10
 1.67    0.387E+10
 2.08    0.314E+10
 2.50    0.262E+10
 2.92    0.223E+10
 3.33    0.193E+10
 3.75    0.169E+10
 4.17    0.150E+10
 4.58    0.135E+10
 5.00    0.122E+10
 5.42    0.110E+10
 5.83    0.101E+10
 6.25    0.927E+09
 6.67    0.854E+09
 7.08    0.791E+09
 7.50    0.735E+09
 7.92    0.684E+09
 8.33    0.639E+09
 8.75    0.599E+09
 9.17    0.562E+09
 9.58    0.529E+09
10.00    0.499E+09
10.42    0.471E+09
10.83    0.445E+09
11.25    0.422E+09
11.67    0.400E+09
12.08    0.381E+09
12.50    0.362E+09
12.92    0.345E+09
13.33    0.329E+09
13.75    0.314E+09
14.17    0.300E+09
14.58    0.288E+09
15.00    0.276E+09
15.42    0.264E+09
15.83    0.254E+09
16.25    0.244E+09
16.67    0.235E+09
17.08    0.226E+09
17.50    0.218E+09
17.92    0.210E+09
18.33    0.203E+09
18.75    0.196E+09
19.17    0.189E+09
19.58    0.183E+09
20.00    0.178E+09
20.42    0.172E+09
20.83    0.167E+09
21.25    0.162E+09
21.67    0.158E+09
22.08    0.154E+09
22.50    0.150E+09
22.92    0.146E+09
23.33    0.142E+09
23.75    0.139E+09
24.17    0.136E+09
24.58    0.133E+09
25.00    0.130E+09
25.42    0.127E+09
25.83    0.125E+09
26.25    0.123E+09
26.67    0.120E+09
27.08    0.118E+09
27.50    0.116E+09
27.92    0.115E+09
28.33    0.113E+09
28.75    0.111E+09
29.17    0.110E+09
29.58    0.109E+09
30.00    0.107E+09
30.42    0.106E+09
30.83    0.105E+09
31.25    0.104E+09
31.67    0.103E+09
32.08    0.103E+09
32.50    0.102E+09
32.92    0.101E+09
33.33    0.101E+09
33.75    0.100E+09
34.17    0.999E+08
34.58    0.996E+08
35.00    0.993E+08
35.42    0.991E+08
35.83    0.989E+08
36.25    0.988E+08
36.67    0.988E+08
37.08    0.988E+08
37.50    0.988E+08
37.92    0.989E+08
38.33    0.991E+08
38.75    0.993E+08
39.17    0.995E+08
39.58    0.998E+08
40.00    0.100E+09
40.42    0.101E+09
40.83    0.101E+09
41.25    0.101E+09
41.67    0.102E+09
42.08    0.102E+09
42.50    0.103E+09
42.92    0.104E+09
43.33    0.104E+09
43.75    0.105E+09
44.17    0.105E+09
44.58    0.106E+09
45.00    0.107E+09
45.42    0.108E+09
45.83    0.109E+09
46.25    0.109E+09
46.67    0.110E+09
47.08    0.111E+09
47.50    0.112E+09
47.92    0.113E+09
48.33    0.114E+09
48.75    0.115E+09
49.17    0.116E+09
49.58    0.117E+09
50.00    0.118E+09
